sample_id	TPM	cancer_type	tissue_type	transcript
TCGA-GV-A3QK-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-MV-A51V-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-DK-A6B0-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-FD-A5BS-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-DK-A1AD-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-XF-AAMQ-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-FT-A3EE-01	-4.6082	BLCA	Tumor	SPN-203
TCGA-ZF-AA4T-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-E7-A3X6-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-GU-A762-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-FD-A43S-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-XF-A8HE-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-BT-A42F-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-G2-A3IB-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-CU-A3KJ-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-DK-A3IS-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-UY-A8OD-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-E5-A4U1-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-XF-A8HF-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-KQ-A41P-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-BL-A13I-01	-5.17567427699	BLCA	Tumor	SPN-203
TCGA-H4-A2HQ-01	-2.9324	BLCA	Tumor	SPN-203
TCGA-ZF-AA4W-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-UY-A9PA-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-BT-A20N-11	-9.9658	BLCA	Tumor	SPN-203
TCGA-GU-A42Q-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-E5-A2PC-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-UY-A9PE-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-XF-A9SV-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-E7-A6MF-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-ZF-AA56-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-DK-AA6X-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-ZF-A9R9-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-XF-AAN1-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-DK-AA6S-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-KQ-A41S-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-4Z-AA7O-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-YF-AA3M-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-CF-A7I0-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-XF-AAMX-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-XF-AAMG-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-BT-A20P-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-DK-A1A6-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-GC-A3YS-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-DK-A3IN-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-K4-A54R-11	-9.9658	BLCA	Tumor	SPN-203
TCGA-BT-A20J-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-S5-A6DX-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-ZF-AA4N-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-GC-A3RC-01	-1.3183	BLCA	Tumor	SPN-203
TCGA-CF-A8HY-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-ZF-A9RL-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-XF-A9T0-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-FD-A3SR-01	-0.2671	BLCA	Tumor	SPN-203
TCGA-GC-A4ZW-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-FD-A3B3-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-G2-A2ES-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-FJ-A871-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-GD-A3OP-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-FD-A3SL-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-ZF-AA4V-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-GC-A3BM-11	-9.9658	BLCA	Tumor	SPN-203
TCGA-K4-A5RI-11	-9.9658	BLCA	Tumor	SPN-203
TCGA-XF-AAMW-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-G2-A2EO-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-XF-A8HH-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-FD-A3B7-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-K4-A3WU-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-CF-A47V-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-DK-A3X1-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-4Z-AA81-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-CF-A3MG-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-ZF-A9R4-01	-4.035	BLCA	Tumor	SPN-203
TCGA-GC-A3OO-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-YC-A9TC-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-YF-AA3L-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-XF-A9SJ-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-ZF-A9R0-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-XF-A8HG-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-BT-A42C-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-GU-A42P-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-2F-A9KP-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-CU-A3QU-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-DK-AA6Q-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-ZF-A9RN-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-GV-A3QI-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-FD-A5BU-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-FD-A3NA-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-DK-AA76-01	-3.1714	BLCA	Tumor	SPN-203
TCGA-DK-A1AA-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-FD-A6TF-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-BT-A20W-01	-2.7274	BLCA	Tumor	SPN-203
TCGA-GU-A767-01	-5.0116	BLCA	Tumor	SPN-203
TCGA-DK-A6B2-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-XF-A9T5-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-GC-A3RB-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-XF-AAME-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-FD-A6TE-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-BT-A20O-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-XF-AAMJ-01	-3.458	BLCA	Tumor	SPN-203
TCGA-CF-A9FL-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-H4-A2HO-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-FJ-A3Z7-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-BL-A13J-11	-9.9658	BLCA	Tumor	SPN-203
TCGA-DK-AA6L-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-BT-A3PJ-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-K4-A5RH-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-BT-A0YX-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-XF-A9SK-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-UY-A9PH-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-ZF-A9RC-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-FD-A62P-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-DK-AA74-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-XF-A9SX-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-FD-A43X-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-K4-A3WS-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-G2-AA3D-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-GU-AATQ-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-GD-A3OQ-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-DK-A3WW-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-PQ-A6FI-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-BL-A5ZZ-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-E7-A5KE-01	-4.035	BLCA	Tumor	SPN-203
TCGA-FD-A3SQ-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-DK-A1AG-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-DK-A3IT-01	-1.5522	BLCA	Tumor	SPN-203
TCGA-BT-A20R-11	-9.9658	BLCA	Tumor	SPN-203
TCGA-XF-AAMR-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-HQ-A5NE-01	-2.3884	BLCA	Tumor	SPN-203
TCGA-ZF-AA52-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-E7-A541-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-UY-A8OB-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-XF-AAN5-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-E7-A97P-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-GC-A3RD-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-E7-A7XN-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-GV-A3JX-01	-1.9942	BLCA	Tumor	SPN-203
TCGA-4Z-AA83-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-ZF-AA5N-01	-5.5735	BLCA	Tumor	SPN-203
TCGA-G2-A2EF-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-UY-A9PF-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-XF-A9SU-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-DK-A3WY-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-5N-A9KM-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-DK-AA6T-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-E5-A4TZ-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-FD-A43N-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-5N-A9KI-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-BT-A20Q-11	-6.5064	BLCA	Tumor	SPN-203
TCGA-CU-A0YR-11	-9.9658	BLCA	Tumor	SPN-203
TCGA-FD-A3SP-01	-0.0877	BLCA	Tumor	SPN-203
TCGA-BT-A20U-11	-9.9658	BLCA	Tumor	SPN-203
TCGA-XF-AAMH-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-DK-A2I2-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-KQ-A41O-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-DK-A3IM-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-4Z-AA7Q-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-K4-A3WV-11	-9.9658	BLCA	Tumor	SPN-203
TCGA-DK-A2I6-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-CU-A0YN-11	-9.9658	BLCA	Tumor	SPN-203
TCGA-DK-A6B6-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-CU-A72E-01	-9.9658	BLCA	Tumor	SPN-203
TCGA-FT-A61P-01	-9.9658	BLCA	Tumor	SPN-203
