sample_id	TPM	cancer_type	tissue_type	transcript
GTEX-147F4-0006-SM-5O99T	-5.5735	DLBC	Blood	SPN-204
GTEX-XBED-0006-SM-47JXO	-1.7809	DLBC	Blood	SPN-204
GTEX-11EQ8-0006-SM-5P9HJ	-2.8262	DLBC	Blood	SPN-204
GTEX-WHSB-0005-SM-3LK7C	-3.0469	DLBC	Blood	SPN-204
GTEX-RVPV-0006-SM-2TF6Q	-1.4305	DLBC	Blood	SPN-204
GTEX-RU1J-0006-SM-2TF6M	0.346	DLBC	Blood	SPN-204
GTEX-WOFM-0005-SM-3MJF3	-1.3548	DLBC	Blood	SPN-204
GTEX-11EQ9-0006-SM-5LUB6	-3.0469	DLBC	Blood	SPN-204
GTEX-132Q8-0006-SM-5NQA4	-1.8836	DLBC	Blood	SPN-204
GTEX-XPT6-0006-SM-4B66Q	-9.9658	DLBC	Blood	SPN-204
GTEX-13CZU-0005-SM-5LU8K	0.3231	DLBC	Blood	SPN-204
GTEX-WI4N-0005-SM-3LK7E	0.1124	DLBC	Blood	SPN-204
GTEX-14A5H-0006-SM-5O9AI	-1.5522	DLBC	Blood	SPN-204
GTEX-XBEW-0006-SM-4AT4E	0.3685	DLBC	Blood	SPN-204
GTEX-139TT-0006-SM-5O9CG	-1.2828	DLBC	Blood	SPN-204
GTEX-U3ZN-0006-SM-3DB7Y	-1.8836	DLBC	Blood	SPN-204
GTEX-PWN1-0006-SM-5SI7T	-9.9658	DLBC	Blood	SPN-204
GTEX-SJXC-0005-SM-2XCE7	-0.8084	DLBC	Blood	SPN-204
GTEX-11PRG-0005-SM-5NQ6X	-3.458	DLBC	Blood	SPN-204
GTEX-NPJ8-0007-SM-26GMF	-0.8084	DLBC	Blood	SPN-204
GTEX-REY6-0005-SM-2TF54	-0.3022	DLBC	Blood	SPN-204
GTEX-S4Q7-0006-SM-3K2AT	-2.4659	DLBC	Blood	SPN-204
GTEX-14BMU-0006-SM-5MR3T	-2.8262	DLBC	Blood	SPN-204
GTEX-OHPN-0005-SM-2YUML	1.1316	DLBC	Blood	SPN-204
