sample_id	TPM	cancer_type	tissue_type	Transcript
TCGA-GV-A3QK-01	-3.426	BLCA	Tumor	SPN
TCGA-MV-A51V-01	-14.0008	BLCA	Tumor	SPN
TCGA-DK-A6B0-01	-8.8811	BLCA	Tumor	SPN
TCGA-FD-A5BS-01	0.9921	BLCA	Tumor	SPN
TCGA-DK-A1AD-01	-4.8885000000000005	BLCA	Tumor	SPN
TCGA-XF-AAMQ-01	0.04490000000000005	BLCA	Tumor	SPN
TCGA-FT-A3EE-01	-4.9053	BLCA	Tumor	SPN
TCGA-ZF-AA4T-01	-8.9016	BLCA	Tumor	SPN
TCGA-E7-A3X6-01	-2.3324	BLCA	Tumor	SPN
TCGA-GU-A762-01	1.4822	BLCA	Tumor	SPN
TCGA-FD-A43S-01	-1.5472	BLCA	Tumor	SPN
TCGA-XF-A8HE-01	-1.4694	BLCA	Tumor	SPN
TCGA-BT-A42F-01	-0.0050000000000000044	BLCA	Tumor	SPN
TCGA-G2-A3IB-01	-4.9848	BLCA	Tumor	SPN
TCGA-CU-A3KJ-01	-4.8401	BLCA	Tumor	SPN
TCGA-DK-A3IS-01	-6.6699	BLCA	Tumor	SPN
TCGA-UY-A8OD-01	-2.5036	BLCA	Tumor	SPN
TCGA-E5-A4U1-01	-10.799800000000001	BLCA	Tumor	SPN
TCGA-XF-A8HF-01	-7.4344	BLCA	Tumor	SPN
TCGA-KQ-A41P-01	-2.9101999999999997	BLCA	Tumor	SPN
TCGA-BL-A13I-01	0.39338134498719995	BLCA	Tumor	SPN
TCGA-H4-A2HQ-01	-9.4388	BLCA	Tumor	SPN
TCGA-ZF-AA4W-01	-6.8563	BLCA	Tumor	SPN
TCGA-UY-A9PA-01	-1.9418	BLCA	Tumor	SPN
TCGA-BT-A20N-11	-3.37	BLCA	Tumor	SPN
TCGA-GU-A42Q-01	-4.9402	BLCA	Tumor	SPN
TCGA-E5-A2PC-01	-5.5109	BLCA	Tumor	SPN
TCGA-UY-A9PE-01	-7.7796	BLCA	Tumor	SPN
TCGA-XF-A9SV-01	-6.1738	BLCA	Tumor	SPN
TCGA-E7-A6MF-01	-2.8422	BLCA	Tumor	SPN
TCGA-ZF-AA56-01	-1.7898	BLCA	Tumor	SPN
TCGA-DK-AA6X-01	-9.6896	BLCA	Tumor	SPN
TCGA-ZF-A9R9-01	-5.696	BLCA	Tumor	SPN
TCGA-XF-AAN1-01	-6.479	BLCA	Tumor	SPN
TCGA-DK-AA6S-01	-2.0564999999999998	BLCA	Tumor	SPN
TCGA-KQ-A41S-01	-12.792	BLCA	Tumor	SPN
TCGA-4Z-AA7O-01	-3.2619	BLCA	Tumor	SPN
TCGA-YF-AA3M-01	-5.0233	BLCA	Tumor	SPN
TCGA-CF-A7I0-01	-11.8494	BLCA	Tumor	SPN
TCGA-XF-AAMX-01	-4.4287	BLCA	Tumor	SPN
TCGA-XF-AAMG-01	-5.803800000000001	BLCA	Tumor	SPN
TCGA-BT-A20P-01	-11.518	BLCA	Tumor	SPN
TCGA-DK-A1A6-01	-2.9463999999999997	BLCA	Tumor	SPN
TCGA-GC-A3YS-01	-5.0709	BLCA	Tumor	SPN
TCGA-DK-A3IN-01	-2.2041	BLCA	Tumor	SPN
TCGA-K4-A54R-11	-0.269	BLCA	Tumor	SPN
TCGA-BT-A20J-01	-0.5685	BLCA	Tumor	SPN
TCGA-S5-A6DX-01	-3.813	BLCA	Tumor	SPN
TCGA-ZF-AA4N-01	-3.234	BLCA	Tumor	SPN
TCGA-GC-A3RC-01	1.1836	BLCA	Tumor	SPN
TCGA-CF-A8HY-01	-13.1372	BLCA	Tumor	SPN
TCGA-ZF-A9RL-01	-10.1817	BLCA	Tumor	SPN
TCGA-XF-A9T0-01	-3.3684000000000003	BLCA	Tumor	SPN
TCGA-FD-A3SR-01	-1.0925	BLCA	Tumor	SPN
TCGA-GC-A4ZW-01	-5.2921	BLCA	Tumor	SPN
TCGA-FD-A3B3-01	0.24539999999999998	BLCA	Tumor	SPN
TCGA-G2-A2ES-01	-2.373	BLCA	Tumor	SPN
TCGA-FJ-A871-01	-10.1817	BLCA	Tumor	SPN
TCGA-GD-A3OP-01	-1.8601	BLCA	Tumor	SPN
TCGA-FD-A3SL-01	-3.359	BLCA	Tumor	SPN
TCGA-ZF-AA4V-01	-3.0978	BLCA	Tumor	SPN
TCGA-GC-A3BM-11	-1.9517	BLCA	Tumor	SPN
TCGA-K4-A5RI-11	1.359	BLCA	Tumor	SPN
TCGA-XF-AAMW-01	-2.2147	BLCA	Tumor	SPN
