sample_id	TPM	cancer_type	tissue_type	transcript
GTEX-P4QS-0005-SM-2I3EY	-6.5064	DLBC	Blood	SPN-201
GTEX-WFJO-0005-SM-3GIKY	0.547	DLBC	Blood	SPN-201
GTEX-O5YT-0007-SM-32PK7	-1.7809	DLBC	Blood	SPN-201
GTEX-14A5I-0005-SM-5N9FU	0.1257	DLBC	Blood	SPN-201
GTEX-X261-0005-SM-4PQYX	-0.4719	DLBC	Blood	SPN-201
GTEX-11DYG-0006-SM-5NQB2	0.4016	DLBC	Blood	SPN-201
GTEX-11EM3-0005-SM-5N9DK	0.537	DLBC	Blood	SPN-201
GTEX-NPJ7-0006-SM-3GACR	-0.4131	DLBC	Blood	SPN-201
GTEX-111YS-0006-SM-5NQBE	-0.5756	DLBC	Blood	SPN-201
GTEX-XMD1-0006-SM-4AT4Q	-3.1714	DLBC	Blood	SPN-201
GTEX-12WSH-0005-SM-5NQ9P	2.8482	DLBC	Blood	SPN-201
GTEX-WOFL-0006-SM-3TW8K	-1.1811	DLBC	Blood	SPN-201
GTEX-WHPG-0006-SM-3NMBV	-1.3183	DLBC	Blood	SPN-201
GTEX-WY7C-0006-SM-3NB3L	-1.685	DLBC	Blood	SPN-201
GTEX-WXYG-0005-SM-3NB3M	-0.6416	DLBC	Blood	SPN-201
GTEX-1314G-0005-SM-5NQ9O	0.8246	DLBC	Blood	SPN-201
GTEX-N7MS-0007-SM-2D7W1	1.6466	DLBC	Blood	SPN-201
GTEX-1497J-0005-SM-5NQBD	2.1047	DLBC	Blood	SPN-201
GTEX-14A5H-0006-SM-5O9AI	0.1124	DLBC	Blood	SPN-201
GTEX-RNOR-0005-SM-2TF4Z	1.7912	DLBC	Blood	SPN-201
GTEX-12WSD-0005-SM-5N9FZ	3.1294	DLBC	Blood	SPN-201
GTEX-X3Y1-0006-SM-3P5ZG	0.5955	DLBC	Blood	SPN-201
GTEX-12ZZW-0005-SM-5O9BY	-2.2447	DLBC	Blood	SPN-201
GTEX-139D8-0006-SM-5LZX8	1.0151	DLBC	Blood	SPN-201
GTEX-OOBK-0005-SM-2YUMG	0.058	DLBC	Blood	SPN-201
GTEX-12WSA-0005-SM-5O9BM	-2.9324	DLBC	Blood	SPN-201
GTEX-Y111-0006-SM-4SOIO	1.3956	DLBC	Blood	SPN-201
GTEX-Z93S-0005-SM-4RGLW	3.1045	DLBC	Blood	SPN-201
GTEX-11OC5-0006-SM-5N9FA	3.7804	DLBC	Blood	SPN-201
GTEX-X4XX-0005-SM-3NMCS	0.9115	DLBC	Blood	SPN-201
GTEX-12WSK-0006-SM-5NQA1	-0.9971	DLBC	Blood	SPN-201
GTEX-Q2AG-0005-SM-5SI7F	0.9038	DLBC	Blood	SPN-201
GTEX-13PLJ-0005-SM-5NQ99	2.2082	DLBC	Blood	SPN-201
GTEX-QVJO-0006-SM-2S1RC	-1.3183	DLBC	Blood	SPN-201
GTEX-PW2O-0006-SM-2I3DV	-0.7834	DLBC	Blood	SPN-201
GTEX-132AR-0006-SM-5NQ7N	3.0358	DLBC	Blood	SPN-201
GTEX-R55G-0006-SM-2TC6O	-2.8262	DLBC	Blood	SPN-201
GTEX-ZDTT-0006-SM-4WKFP	0.4125	DLBC	Blood	SPN-201
GTEX-12C56-0006-SM-5N9E9	-1.5105	DLBC	Blood	SPN-201
GTEX-P4PP-0005-SM-2HMKX	-1.5951	DLBC	Blood	SPN-201
GTEX-14H4A-0006-SM-5N9E3	-0.9132	DLBC	Blood	SPN-201
GTEX-ZF28-0005-SM-4WKH3	-0.1345	DLBC	Blood	SPN-201
GTEX-PLZ4-0006-SM-5SI8L	1.7954	DLBC	Blood	SPN-201
GTEX-ZVZQ-0006-SM-51MR8	0.2277	DLBC	Blood	SPN-201
GTEX-Q2AI-0006-SM-2I3FG	0.058	DLBC	Blood	SPN-201
GTEX-REY6-0005-SM-2TF54	1.4388	DLBC	Blood	SPN-201
GTEX-XBEC-0006-SM-4AT5T	-0.6643	DLBC	Blood	SPN-201
GTEX-131YS-0005-SM-5NQAS	1.9638	DLBC	Blood	SPN-201
GTEX-131XE-0006-SM-5P9F9	-2.0529	DLBC	Blood	SPN-201
GTEX-13FXS-0006-SM-5O99X	1.0779	DLBC	Blood	SPN-201
GTEX-YECK-0005-SM-4W217	0.7579	DLBC	Blood	SPN-201
GTEX-POMQ-0006-SM-5SI7D	0.058	DLBC	Blood	SPN-201
GTEX-TML8-0005-SM-32QPA	-0.0725	DLBC	Blood	SPN-201
GTEX-S341-0006-SM-3NM8D	-2.5479	DLBC	Blood	SPN-201
GTEX-ZVP2-0005-SM-51MRK	0.7233	DLBC	Blood	SPN-201
GTEX-Y5V6-0005-SM-4V6FD	-0.2328	DLBC	Blood	SPN-201
GTEX-12WSL-0005-SM-5NQAD	-0.4921	DLBC	Blood	SPN-201
GTEX-W5WG-0006-SM-3GIJT	-0.4521	DLBC	Blood	SPN-201
GTEX-13S7M-0005-SM-5NQ76	1.8564	DLBC	Blood	SPN-201
GTEX-YB5E-0005-SM-4VDSO	-0.3201	DLBC	Blood	SPN-201
GTEX-ZF3C-0005-SM-4WWAR	0.9191	DLBC	Blood	SPN-201
GTEX-S7PM-0006-SM-3NM8C	1.2085	DLBC	Blood	SPN-201
GTEX-NPJ8-0007-SM-26GMW	1.0779	DLBC	Blood	SPN-201
GTEX-ZVT4-0006-SM-57WB8	0.2277	DLBC	Blood	SPN-201
GTEX-12WSN-0006-SM-5NQAP	2.3308	DLBC	Blood	SPN-201
GTEX-UTHO-0006-SM-3NMCC	1.0573	DLBC	Blood	SPN-201
GTEX-13FTX-0005-SM-5N9F6	1.6327	DLBC	Blood	SPN-201
GTEX-12WSG-0005-SM-5NQA2	0.7493	DLBC	Blood	SPN-201
GTEX-NPJ8-0007-SM-26GMF	-1.0262	DLBC	Blood	SPN-201
GTEX-13OVJ-0006-SM-5O98T	-0.8084	DLBC	Blood	SPN-201
GTEX-R55F-0005-SM-2TF4W	-1.4305	DLBC	Blood	SPN-201
GTEX-14BMV-0005-SM-5NQ6Y	4.3534	DLBC	Blood	SPN-201
GTEX-PLZ5-0006-SM-2S1NZ	0.2998	DLBC	Blood	SPN-201
GTEX-Y5V5-0006-SM-4V6FE	0.7407	DLBC	Blood	SPN-201
GTEX-Y8LW-0005-SM-4V6EV	-0.1828	DLBC	Blood	SPN-201
GTEX-132QS-0005-SM-5LZXK	-0.1828	DLBC	Blood	SPN-201
GTEX-13OW6-0005-SM-5NQ9Z	2.9262	DLBC	Blood	SPN-201
GTEX-ZE9C-0006-SM-4WKG2	1.3051	DLBC	Blood	SPN-201
GTEX-139TT-0006-SM-5O9CG	0.099	DLBC	Blood	SPN-201
GTEX-11GSO-0005-SM-5O9CA	-1.2142	DLBC	Blood	SPN-201
GTEX-QLQ7-0005-SM-2S1QP	0.9789	DLBC	Blood	SPN-201
GTEX-XK95-0005-SM-4AT4S	-2.9324	DLBC	Blood	SPN-201
GTEX-131XH-0006-SM-5O98V	-1.2142	DLBC	Blood	SPN-201
GTEX-POYW-0006-SM-2XCF4	0.8883	DLBC	Blood	SPN-201
GTEX-R53T-0005-SM-3GADK	2.1047	DLBC	Blood	SPN-201
GTEX-11OF3-0006-SM-5O9CM	-0.1665	DLBC	Blood	SPN-201
GTEX-117XS-0005-SM-5PNU6	-1.0262	DLBC	Blood	SPN-201
GTEX-147F4-0006-SM-5O99T	-2.6349	DLBC	Blood	SPN-201
GTEX-PWCY-0005-SM-2I3E2	-2.7274	DLBC	Blood	SPN-201
GTEX-ZG7Y-0006-SM-4WWEA	-1.3548	DLBC	Blood	SPN-201
GTEX-13CF2-0006-SM-5O99L	-0.4131	DLBC	Blood	SPN-201
GTEX-X88G-0006-SM-47JX5	1.6466	DLBC	Blood	SPN-201
GTEX-XPVG-0006-SM-4B65Z	-1.8314	DLBC	Blood	SPN-201
GTEX-11NV4-0005-SM-5N9EX	3.5887	DLBC	Blood	SPN-201
GTEX-POMQ-0006-SM-33HBY	0.0718	DLBC	Blood	SPN-201
GTEX-13VXT-0005-SM-5N9F3	-0.4131	DLBC	Blood	SPN-201
GTEX-RWS6-0005-SM-2XCAN	0.346	DLBC	Blood	SPN-201
GTEX-NPJ8-0007-SM-2D7VX	-1.9942	DLBC	Blood	SPN-201
GTEX-11EMC-0006-SM-5O9DN	-2.3884	DLBC	Blood	SPN-201
GTEX-QLQW-0005-SM-2S1RA	1.2023	DLBC	Blood	SPN-201
GTEX-ZVT3-0006-SM-51MT9	0.3796	DLBC	Blood	SPN-201
GTEX-QMRM-0005-SM-3NB2A	1.2815	DLBC	Blood	SPN-201
GTEX-N7MT-0007-SM-3GACQ	2.3677	DLBC	Blood	SPN-201
GTEX-14DAQ-0005-SM-5NQ7B	3.0074	DLBC	Blood	SPN-201
GTEX-QVUS-0006-SM-3GAE8	0.03	DLBC	Blood	SPN-201
GTEX-XV7Q-0005-SM-4BRWI	1.6695	DLBC	Blood	SPN-201
GTEX-13113-0006-SM-5NQ7X	-3.816	DLBC	Blood	SPN-201
GTEX-117YW-0005-SM-5NQ8Z	1.7912	DLBC	Blood	SPN-201
GTEX-13CIG-0006-SM-5P9HF	-0.6643	DLBC	Blood	SPN-201
GTEX-ZTX8-0006-SM-4YCE4	0.0718	DLBC	Blood	SPN-201
GTEX-Y3IK-0005-SM-4WWDE	0.5568	DLBC	Blood	SPN-201
GTEX-T5JW-0005-SM-3GADE	-1.0559	DLBC	Blood	SPN-201
GTEX-14C39-0005-SM-5NQBR	-1.3921	DLBC	Blood	SPN-201
GTEX-11VI4-0006-SM-5N9D8	0.7493	DLBC	Blood	SPN-201
GTEX-139T8-0006-SM-5NQ6V	0.7058	DLBC	Blood	SPN-201
GTEX-P44G-0006-SM-2TC6A	-0.4131	DLBC	Blood	SPN-201
GTEX-12WSE-0005-SM-5NQAE	0.4552	DLBC	Blood	SPN-201
GTEX-OHPM-0006-SM-2HMKU	-0.0277	DLBC	Blood	SPN-201
GTEX-XUJ4-0005-SM-4BOQ6	-0.394	DLBC	Blood	SPN-201
GTEX-QDVN-0006-SM-48U1R	-3.1714	DLBC	Blood	SPN-201
GTEX-SE5C-0006-SM-4BRW5	-1.3183	DLBC	Blood	SPN-201
GTEX-132NY-0005-SM-5O9AC	1.2636	DLBC	Blood	SPN-201
GTEX-1192W-0005-SM-5NQBQ	0.4552	DLBC	Blood	SPN-201
GTEX-ZTTD-0006-SM-51MSJ	-1.6394	DLBC	Blood	SPN-201
GTEX-13S86-0005-SM-5NQ7I	1.7009	DLBC	Blood	SPN-201
GTEX-13O61-0005-SM-5O9AU	0.5955	DLBC	Blood	SPN-201
GTEX-QDVJ-0005-SM-2TC5X	1.9859	DLBC	Blood	SPN-201
GTEX-X62O-0005-SM-46MV1	1.0915	DLBC	Blood	SPN-201
GTEX-148VJ-0006-SM-5NQB1	0.1903	DLBC	Blood	SPN-201
GTEX-RVPU-0005-SM-2TF6L	-0.8599	DLBC	Blood	SPN-201
GTEX-11TUW-0006-SM-5LZW2	2.6873	DLBC	Blood	SPN-201
GTEX-X4XY-0006-SM-46MV2	1.5998	DLBC	Blood	SPN-201
GTEX-139T6-0006-SM-5LU92	0.058	DLBC	Blood	SPN-201
GTEX-VUSG-0006-SM-3GIK9	2.5036	DLBC	Blood	SPN-201
GTEX-SNOS-0006-SM-32PLH	0.9568	DLBC	Blood	SPN-201
GTEX-WYVS-0006-SM-3NMA7	1.8957	DLBC	Blood	SPN-201
GTEX-14ABY-0005-SM-5O99U	2.4649	DLBC	Blood	SPN-201
GTEX-11WQC-0006-SM-5LZVP	2.1541	DLBC	Blood	SPN-201
GTEX-14E1K-0006-SM-5N9DY	0.7233	DLBC	Blood	SPN-201
GTEX-WQUQ-0006-SM-3MJF4	2.6647	DLBC	Blood	SPN-201
GTEX-XUW1-0005-SM-4BOQ7	1.9564	DLBC	Blood	SPN-201
GTEX-WFG8-0006-SM-3GIKS	0.0158	DLBC	Blood	SPN-201
GTEX-Y8DK-0005-SM-4RGNR	-0.0877	DLBC	Blood	SPN-201
GTEX-X4EP-0005-SM-3P5ZE	-2.0529	DLBC	Blood	SPN-201
GTEX-13CF3-0006-SM-5N9ED	-2.9324	DLBC	Blood	SPN-201
GTEX-1192X-0005-SM-5NQC3	-2.4659	DLBC	Blood	SPN-201
GTEX-Q2AH-0005-SM-5SI7G	-1.2481	DLBC	Blood	SPN-201
GTEX-11DXY-0006-SM-5NQ8N	1.2815	DLBC	Blood	SPN-201
GTEX-139TS-0005-SM-5NQC1	0.7058	DLBC	Blood	SPN-201
GTEX-OIZI-0005-SM-2XCED	1.412	DLBC	Blood	SPN-201
GTEX-12BJ1-0006-SM-5SIB5	-0.0574	DLBC	Blood	SPN-201
GTEX-WFON-0005-SM-3NMC9	-2.4659	DLBC	Blood	SPN-201
GTEX-Q734-0006-SM-2I3FJ	2.2452	DLBC	Blood	SPN-201
GTEX-11EQ8-0006-SM-5P9HJ	-0.8339	DLBC	Blood	SPN-201
GTEX-132Q8-0006-SM-5NQA4	-1.1172	DLBC	Blood	SPN-201
GTEX-ZDXO-0006-SM-4WKGF	1.5612	DLBC	Blood	SPN-201
GTEX-U412-0006-SM-3DB8J	-0.6643	DLBC	Blood	SPN-201
GTEX-R55D-0006-SM-3GIJS	0.8961	DLBC	Blood	SPN-201
GTEX-WFG7-0005-SM-3GIKM	0.03	DLBC	Blood	SPN-201
GTEX-YFCO-0005-SM-4W1ZI	0.2998	DLBC	Blood	SPN-201
GTEX-N7MS-0007-SM-26GME	1.3901	DLBC	Blood	SPN-201
GTEX-XPT6-0006-SM-4B66Q	-1.5951	DLBC	Blood	SPN-201
GTEX-XMK1-0005-SM-4B665	0.0158	DLBC	Blood	SPN-201
GTEX-XBED-0006-SM-47JXO	-1.1172	DLBC	Blood	SPN-201
GTEX-WEY5-0006-SM-3GIKG	-2.7274	DLBC	Blood	SPN-201
GTEX-11NUK-0005-SM-5MR5F	2.236	DLBC	Blood	SPN-201
GTEX-1313W-0006-SM-5O9B1	0.4552	DLBC	Blood	SPN-201
GTEX-RU72-0006-SM-2TF65	1.2333	DLBC	Blood	SPN-201
GTEX-YBZK-0005-SM-59HKG	2.77	DLBC	Blood	SPN-201
GTEX-12126-0006-SM-5O9B8	0.2277	DLBC	Blood	SPN-201
GTEX-11PRG-0005-SM-5NQ6X	-0.4719	DLBC	Blood	SPN-201
GTEX-ZQUD-0005-SM-4YCE5	-0.9406	DLBC	Blood	SPN-201
GTEX-139TU-0006-SM-5LZVN	2.3953	DLBC	Blood	SPN-201
GTEX-12584-0005-SM-5N9GM	0.9789	DLBC	Blood	SPN-201
GTEX-R45C-0006-SM-3GAD6	-2.4659	DLBC	Blood	SPN-201
