sample_id	TPM	cancer_type	tissue_type	transcript
TCGA-GV-A3QK-01	-1.2481	BLCA	Tumor	SPN-201
TCGA-MV-A51V-01	-4.035	BLCA	Tumor	SPN-201
TCGA-DK-A6B0-01	-5.5735	BLCA	Tumor	SPN-201
TCGA-FD-A5BS-01	-1.0262	BLCA	Tumor	SPN-201
TCGA-DK-A1AD-01	-1.4305	BLCA	Tumor	SPN-201
TCGA-XF-AAMQ-01	0.537	BLCA	Tumor	SPN-201
TCGA-FT-A3EE-01	-2.1779	BLCA	Tumor	SPN-201
TCGA-ZF-AA4T-01	-4.6082	BLCA	Tumor	SPN-201
TCGA-E7-A3X6-01	-0.0877	BLCA	Tumor	SPN-201
TCGA-GU-A762-01	0.3907	BLCA	Tumor	SPN-201
TCGA-FD-A43S-01	-2.5479	BLCA	Tumor	SPN-201
TCGA-XF-A8HE-01	0.1257	BLCA	Tumor	SPN-201
TCGA-BT-A42F-01	-0.7108	BLCA	Tumor	SPN-201
TCGA-G2-A3IB-01	-3.0469	BLCA	Tumor	SPN-201
TCGA-CU-A3KJ-01	-1.2142	BLCA	Tumor	SPN-201
TCGA-DK-A3IS-01	-4.035	BLCA	Tumor	SPN-201
TCGA-UY-A8OD-01	-1.3548	BLCA	Tumor	SPN-201
TCGA-E5-A4U1-01	-6.5064	BLCA	Tumor	SPN-201
TCGA-XF-A8HF-01	-4.6082	BLCA	Tumor	SPN-201
TCGA-KQ-A41P-01	-2.7274	BLCA	Tumor	SPN-201
TCGA-BL-A13I-01	0.416156295812	BLCA	Tumor	SPN-201
TCGA-H4-A2HQ-01	-2.9324	BLCA	Tumor	SPN-201
TCGA-ZF-AA4W-01	-5.5735	BLCA	Tumor	SPN-201
TCGA-UY-A9PA-01	-0.4719	BLCA	Tumor	SPN-201
TCGA-BT-A20N-11	-1.685	BLCA	Tumor	SPN-201
TCGA-GU-A42Q-01	-2.8262	BLCA	Tumor	SPN-201
TCGA-E5-A2PC-01	-2.0529	BLCA	Tumor	SPN-201
TCGA-UY-A9PE-01	-4.6082	BLCA	Tumor	SPN-201
TCGA-XF-A9SV-01	-3.6259	BLCA	Tumor	SPN-201
TCGA-E7-A6MF-01	-0.6643	BLCA	Tumor	SPN-201
TCGA-ZF-AA56-01	-0.5756	BLCA	Tumor	SPN-201
TCGA-DK-AA6X-01	0.2762	BLCA	Tumor	SPN-201
TCGA-ZF-A9R9-01	-3.3076	BLCA	Tumor	SPN-201
TCGA-XF-AAN1-01	-3.1714	BLCA	Tumor	SPN-201
TCGA-DK-AA6S-01	-0.8084	BLCA	Tumor	SPN-201
TCGA-KQ-A41S-01	-2.8262	BLCA	Tumor	SPN-201
TCGA-4Z-AA7O-01	-1.4305	BLCA	Tumor	SPN-201
TCGA-YF-AA3M-01	-2.6349	BLCA	Tumor	SPN-201
TCGA-CF-A7I0-01	-1.8836	BLCA	Tumor	SPN-201
TCGA-XF-AAMX-01	-2.114	BLCA	Tumor	SPN-201
TCGA-XF-AAMG-01	-2.1779	BLCA	Tumor	SPN-201
TCGA-BT-A20P-01	-6.5064	BLCA	Tumor	SPN-201
TCGA-DK-A1A6-01	-1.2142	BLCA	Tumor	SPN-201
TCGA-GC-A3YS-01	-2.2447	BLCA	Tumor	SPN-201
TCGA-DK-A3IN-01	-0.4719	BLCA	Tumor	SPN-201
TCGA-K4-A54R-11	-0.1345	BLCA	Tumor	SPN-201
TCGA-BT-A20J-01	0.1903	BLCA	Tumor	SPN-201
TCGA-S5-A6DX-01	-3.1714	BLCA	Tumor	SPN-201
TCGA-ZF-AA4N-01	-2.0529	BLCA	Tumor	SPN-201
TCGA-GC-A3RC-01	-0.1504	BLCA	Tumor	SPN-201
TCGA-CF-A8HY-01	-9.9658	BLCA	Tumor	SPN-201
TCGA-ZF-A9RL-01	-5.5735	BLCA	Tumor	SPN-201
TCGA-XF-A9T0-01	-1.9379	BLCA	Tumor	SPN-201
TCGA-FD-A3SR-01	0.1903	BLCA	Tumor	SPN-201
TCGA-GC-A4ZW-01	-2.4659	BLCA	Tumor	SPN-201
TCGA-FD-A3B3-01	0.4447	BLCA	Tumor	SPN-201
TCGA-G2-A2ES-01	-2.0529	BLCA	Tumor	SPN-201
TCGA-FJ-A871-01	-5.5735	BLCA	Tumor	SPN-201
TCGA-GD-A3OP-01	-1.0262	BLCA	Tumor	SPN-201
TCGA-FD-A3SL-01	-2.1779	BLCA	Tumor	SPN-201
TCGA-ZF-AA4V-01	-1.8836	BLCA	Tumor	SPN-201
TCGA-GC-A3BM-11	-0.3566	BLCA	Tumor	SPN-201
TCGA-K4-A5RI-11	0.4552	BLCA	Tumor	SPN-201
TCGA-XF-AAMW-01	-0.8599	BLCA	Tumor	SPN-201
TCGA-G2-A2EO-01	-1.7809	BLCA	Tumor	SPN-201
TCGA-XF-A8HH-01	-1.8314	BLCA	Tumor	SPN-201
TCGA-FD-A3B7-01	1.5266	BLCA	Tumor	SPN-201
TCGA-K4-A3WU-01	0.2277	BLCA	Tumor	SPN-201
TCGA-CF-A47V-01	-2.8262	BLCA	Tumor	SPN-201
TCGA-DK-A3X1-01	-4.2934	BLCA	Tumor	SPN-201
TCGA-4Z-AA81-01	-0.9132	BLCA	Tumor	SPN-201
TCGA-CF-A3MG-01	-6.5064	BLCA	Tumor	SPN-201
TCGA-ZF-A9R4-01	-1.2828	BLCA	Tumor	SPN-201
TCGA-GC-A3OO-01	-1.3921	BLCA	Tumor	SPN-201
TCGA-YC-A9TC-01	-4.2934	BLCA	Tumor	SPN-201
TCGA-YF-AA3L-01	-6.5064	BLCA	Tumor	SPN-201
TCGA-XF-A9SJ-01	-2.3884	BLCA	Tumor	SPN-201
TCGA-ZF-A9R0-01	-3.816	BLCA	Tumor	SPN-201
TCGA-XF-A8HG-01	-5.5735	BLCA	Tumor	SPN-201
TCGA-BT-A42C-01	-4.6082	BLCA	Tumor	SPN-201
TCGA-GU-A42P-01	-3.6259	BLCA	Tumor	SPN-201
TCGA-2F-A9KP-01	-3.1714	BLCA	Tumor	SPN-201
TCGA-CU-A3QU-01	-3.458	BLCA	Tumor	SPN-201
TCGA-DK-AA6Q-01	-0.5543	BLCA	Tumor	SPN-201
TCGA-ZF-A9RN-01	-0.4131	BLCA	Tumor	SPN-201
TCGA-GV-A3QI-01	-4.6082	BLCA	Tumor	SPN-201
TCGA-FD-A5BU-01	-0.7588	BLCA	Tumor	SPN-201
TCGA-FD-A3NA-01	-0.7588	BLCA	Tumor	SPN-201
TCGA-DK-AA76-01	-4.6082	BLCA	Tumor	SPN-201
TCGA-DK-A1AA-01	-2.0529	BLCA	Tumor	SPN-201
TCGA-FD-A6TF-01	-3.1714	BLCA	Tumor	SPN-201
TCGA-BT-A20W-01	-0.0574	BLCA	Tumor	SPN-201
