sample_id	TPM	cancer_type	tissue_type	Transcript
GTEX-P4QS-0005-SM-2I3EY	-8.1015	DLBC	Blood	SPN
GTEX-WFJO-0005-SM-3GIKY	1.1136	DLBC	Blood	SPN
GTEX-O5YT-0007-SM-32PK7	-1.3901999999999999	DLBC	Blood	SPN
GTEX-14A5I-0005-SM-5N9FU	1.1192	DLBC	Blood	SPN
GTEX-X261-0005-SM-4PQYX	1.2983	DLBC	Blood	SPN
GTEX-11DYG-0006-SM-5NQB2	4.0651	DLBC	Blood	SPN
GTEX-11EM3-0005-SM-5N9DK	0.10450000000000004	DLBC	Blood	SPN
GTEX-NPJ7-0006-SM-3GACR	4.0405	DLBC	Blood	SPN
GTEX-111YS-0006-SM-5NQBE	0.13019999999999998	DLBC	Blood	SPN
GTEX-XMD1-0006-SM-4AT4Q	-3.7907	DLBC	Blood	SPN
GTEX-12WSH-0005-SM-5NQ9P	6.3182	DLBC	Blood	SPN
GTEX-WOFL-0006-SM-3TW8K	0.5764	DLBC	Blood	SPN
GTEX-WHPG-0006-SM-3NMBV	-1.9826000000000001	DLBC	Blood	SPN
GTEX-WY7C-0006-SM-3NB3L	-1.641	DLBC	Blood	SPN
GTEX-WXYG-0005-SM-3NB3M	0.24670000000000003	DLBC	Blood	SPN
GTEX-1314G-0005-SM-5NQ9O	3.0606	DLBC	Blood	SPN
GTEX-N7MS-0007-SM-2D7W1	4.8054	DLBC	Blood	SPN
GTEX-1497J-0005-SM-5NQBD	5.8862	DLBC	Blood	SPN
GTEX-14A5H-0006-SM-5O9AI	1.6978	DLBC	Blood	SPN
GTEX-RNOR-0005-SM-2TF4Z	6.2831	DLBC	Blood	SPN
GTEX-12WSD-0005-SM-5N9FZ	7.547700000000001	DLBC	Blood	SPN
GTEX-X3Y1-0006-SM-3P5ZG	2.1221	DLBC	Blood	SPN
GTEX-12ZZW-0005-SM-5O9BY	-2.8203	DLBC	Blood	SPN
GTEX-139D8-0006-SM-5LZX8	2.6149	DLBC	Blood	SPN
GTEX-OOBK-0005-SM-2YUMG	1.1083	DLBC	Blood	SPN
GTEX-12WSA-0005-SM-5O9BM	-0.5760000000000001	DLBC	Blood	SPN
GTEX-Y111-0006-SM-4SOIO	5.2082	DLBC	Blood	SPN
GTEX-Z93S-0005-SM-4RGLW	7.6419	DLBC	Blood	SPN
GTEX-11OC5-0006-SM-5N9FA	9.198599999999999	DLBC	Blood	SPN
GTEX-X4XX-0005-SM-3NMCS	4.2804	DLBC	Blood	SPN
GTEX-12WSK-0006-SM-5NQA1	-1.9942	DLBC	Blood	SPN
GTEX-Q2AG-0005-SM-5SI7F	4.9325	DLBC	Blood	SPN
GTEX-13PLJ-0005-SM-5NQ99	5.7885	DLBC	Blood	SPN
GTEX-QVJO-0006-SM-2S1RC	-0.5519000000000001	DLBC	Blood	SPN
GTEX-PW2O-0006-SM-2I3DV	-0.4603	DLBC	Blood	SPN
GTEX-132AR-0006-SM-5NQ7N	4.9354	DLBC	Blood	SPN
GTEX-R55G-0006-SM-2TC6O	-4.2961	DLBC	Blood	SPN
GTEX-ZDTT-0006-SM-4WKFP	1.4767000000000001	DLBC	Blood	SPN
GTEX-12C56-0006-SM-5N9E9	-3.0627	DLBC	Blood	SPN
GTEX-P4PP-0005-SM-2HMKX	-1.3921999999999999	DLBC	Blood	SPN
GTEX-14H4A-0006-SM-5N9E3	-2.6454	DLBC	Blood	SPN
GTEX-ZF28-0005-SM-4WKH3	1.1171	DLBC	Blood	SPN
GTEX-PLZ4-0006-SM-5SI8L	5.5245	DLBC	Blood	SPN
GTEX-ZVZQ-0006-SM-51MR8	4.092700000000001	DLBC	Blood	SPN
GTEX-Q2AI-0006-SM-2I3FG	-0.7504	DLBC	Blood	SPN
GTEX-REY6-0005-SM-2TF54	3.4210000000000003	DLBC	Blood	SPN
GTEX-XBEC-0006-SM-4AT5T	1.4504000000000001	DLBC	Blood	SPN
GTEX-131YS-0005-SM-5NQAS	6.6414	DLBC	Blood	SPN
GTEX-131XE-0006-SM-5P9F9	-1.2865000000000002	DLBC	Blood	SPN
GTEX-13FXS-0006-SM-5O99X	5.2326	DLBC	Blood	SPN
GTEX-YECK-0005-SM-4W217	4.2891	DLBC	Blood	SPN
GTEX-POMQ-0006-SM-5SI7D	0.0594	DLBC	Blood	SPN
GTEX-TML8-0005-SM-32QPA	1.8424	DLBC	Blood	SPN
GTEX-S341-0006-SM-3NM8D	-2.2717	DLBC	Blood	SPN
GTEX-ZVP2-0005-SM-51MRK	2.7593	DLBC	Blood	SPN
GTEX-Y5V6-0005-SM-4V6FD	-0.4656	DLBC	Blood	SPN
GTEX-12WSL-0005-SM-5NQAD	-0.10139999999999999	DLBC	Blood	SPN
GTEX-W5WG-0006-SM-3GIJT	1.2174	DLBC	Blood	SPN
GTEX-13S7M-0005-SM-5NQ76	4.7558	DLBC	Blood	SPN
GTEX-YB5E-0005-SM-4VDSO	1.1555	DLBC	Blood	SPN
GTEX-ZF3C-0005-SM-4WWAR	4.7214	DLBC	Blood	SPN
GTEX-S7PM-0006-SM-3NM8C	4.0766	DLBC	Blood	SPN
GTEX-NPJ8-0007-SM-26GMW	0.21800000000000008	DLBC	Blood	SPN
GTEX-ZVT4-0006-SM-57WB8	2.4452	DLBC	Blood	SPN
GTEX-12WSN-0006-SM-5NQAP	3.8064	DLBC	Blood	SPN
GTEX-UTHO-0006-SM-3NMCC	4.4192	DLBC	Blood	SPN
GTEX-13FTX-0005-SM-5N9F6	3.902	DLBC	Blood	SPN
GTEX-12WSG-0005-SM-5NQA2	3.7441	DLBC	Blood	SPN
GTEX-NPJ8-0007-SM-26GMF	-4.3338	DLBC	Blood	SPN
GTEX-13OVJ-0006-SM-5O98T	-0.807	DLBC	Blood	SPN
GTEX-R55F-0005-SM-2TF4W	-1.473	DLBC	Blood	SPN
GTEX-14BMV-0005-SM-5NQ6Y	7.4067	DLBC	Blood	SPN
GTEX-PLZ5-0006-SM-2S1NZ	2.0271	DLBC	Blood	SPN
GTEX-Y5V5-0006-SM-4V6FE	2.5151	DLBC	Blood	SPN
GTEX-Y8LW-0005-SM-4V6EV	-0.11099999999999999	DLBC	Blood	SPN
