transcript_id	cdna_len	cds_len	prot_len exon_count
ENST00000395389.2	1935	1203	401	2
ENST00000436527.5	1197	1065	355	2
ENST00000360121.4	6894	1203	401	2
ENST00000652691.1	7252	1203	401	2
ENST00000563039.2	1853	1203	401	3
ENST00000561857.1	2077	0	0	1
